,review,date
17,"The best government app that I've ever experienced. It made my life easier by completing most of my and my dependents' government paperwork without wasting our time in long ques. I can issue/ renew the ID, passport, driving license, issue exit/ re-entry visas for my employees, .. and much much more. Brilliant app!","February 20, 2019"
18,"Amazing and spectacular App. It makes the life easier in regard of doing all the visiting the governmental institutions. With one click, I can renew my passport, National ID, Car registration, driver's licenses and many more. Instead of wating several hours in a line to do all the government documentation, I can do it here with Absher.","February 17, 2019"
19,"It is a great amazing application that eases users live in many aspects, sadly many low ratings and reviews done by people who never tried it. Unfortunately the media delivered wrong message about the application which is totally different from its real use.","February 17, 2019"
20,"it seems QA of application has not done. observed quality issues are stated below: 1.Back-space or delete key is missing at Verification Code screen. 2. Documents required for Isteqdam are enlisted in arabic even in English language version (only first one is in English rest all nine are in Arabic). 3. When choosing Service in isteqdam appointment, all 3 options appers in Arabic even in English version. I hope these errors will be corrected soon.","March 2, 2019"
21,It is the best app for individuals searching for government services such renewal of passport and national ID. This app has seved our time and effort from going to each government office and kept it to minimum. Also it was very helpful for our elder to do it on line with bothering them to go to the offices. Thanks for however was part of the team how built this app.,"February 17, 2019"
22,"very good. saved us the trouble of going to various government offices. u can finish most of the work by few clicks. I renewed my passport using it, then u can choose either home delivery for extra fees or u stop by and pick it up.","February 17, 2019"
23,"Excellent app. One of the most useful. It provides grate government services from the comfort of my home. It also give alerts when a document is due for renewal such as passports, driver license, car registration... etc.","December 24, 2021"
24,this app save a lot of time I can order and renew my passport or ID card while I'm in home with no need to do anything outside + it has a delivery options so I can receive it from home! and there's also a lot of great features like knowing your traffic violations and when your passport or id or drive license will expire and you can pay for your tickets such a GREAT application!,"November 6, 2021"
25,Excellent app We check iqama driving licence and renew our passport and We check also our travels details the successful app,"April 28, 2023"
26,"Literally speaking, I don't like this app. It's too annoying. I like the old version of it, I was very much use to it with all the information on tips. I see this app as the basic summary kit of the old version. Hope the owners bring back the old type. Would be more than happy to embrace it. Thanks!","May 26, 2022"
27,"This app makes the Saudis life much easier than 10 years ago. HOW?? Could imagine that you can reissue your passport, driving license and many other services within few clicks which might take minutes and from where you are. thanks for everyone who works on this app 💚","February 17, 2019"
28,The absher system is very good and very essential for us but the app is not not capable to do maximum thing's. We have to log into absher by browsing others browser which is not feeling good. If there is no app like Qiwa then okay but why we need to browse manually when there is an app available in the store. Please make the app more capable to do all the most used essential tasks instead of browsing manually. Thanks in advance.,"February 14, 2022"
29,"Very nice app Through this app we can check iqama, driving licence, passport, and also our traffic fine and much more","April 9, 2023"
30,Why absher not show absent from work status?,"May 14, 2023"
31,"I have fingerprint sensor in my phone, so why should I go to the absher machine? Hope this will be fixed for the phones having fingerprint sensor","March 29, 2023"
32,"Excellent platform, amazing","May 13, 2023"
33,"issue or renew ID, passport and car regestration and request any government services you can imagine in two minutes via an app in your phone you can even pay for traffic tickets or report any violations through the app. The best part is there is no paperwork at all","February 17, 2019"
34,"This app makes ""controling my woman"" so easy! If she gets uppity, I can revoke her travel privileges from my phone. I'm less afraid of her bolting, thanks to the SMS alerts I get when she uses her passport for instance. Sure you have convenience in dealing with government for renewals and such, but the level of control and peace of mind that this app provides has totally removed the anxiety that my women might escape my control. Phew.","February 25, 2019"
35,It's good but problem is I'm renew the new health insurance but not show my absher apps Why???,"April 6, 2023"
36,"An amazing experience with Absher! I cannot believe that the passport renewal service, which was until recently an unpleasant experience of queuing and back and forth visits to Passports Department, took me only 60 seconds through Absher. Incredible!!","February 18, 2019"
37,"This is the most beneficial application I have ever had in my life. I guarantee you that you will never find such perfect governmental services this application provide. I live in the US, and we still doing our governmental services by mail, what a surprise. While I can say that Saudi Arabia has made it possible to have your official governmental services literally done in seconds by few clicks on your touch screen. Thanks a lot for those who are behind the scenes doing there best improving it.","February 18, 2019"
38,This app is a life saver for every saudi men and women. It makes our life easier. I wish other countries learn from us and make life easier for their people by such an app. Those who are not from our country shouldn't have the right to review this app since they have no idea what it is and never used it. Their reviews should be considered as spams.,"February 18, 2019"
39,"Worked and Lived in Saudi Arabia for around 3 years. As a user I would say that this app has been very useful to get almost any gov-service done. As a software engineer, I can really see the hard work and effort put into this app to make it what it is, and with total honesty, it is a leading app and should be a model for e-transformation any where in the world.","February 18, 2019"
40,This app not working 😅 after last update 😅😅,"April 6, 2023"
41,Very poor Update 💔💔 very Bad work this System,"March 22, 2023"
42,Very good app for everything I hope my indian government also make like this app,"April 9, 2023"
43,Great app and so easy to login I loved it,"April 16, 2023"
44,Can't able to login or change password,"April 1, 2023"
45,"The services provided by the app are excellent. You can request new passport, renew existing passport, renew driving license, renew vehicle registration and license, issue National card, renew Iqama card. You also have all the information about yourself and your family citizenship. The system is connected to the banks and car rental companies. you can pay you driving tickets through it. The app saves valuable time and efforts that could have been wasted standing in lines.","February 17, 2019"
46,"it's a very handy application that makes our lives easy. With Absher, I'm able to reissue my driving license, my passport, and IDs in just a few minutes. it's a unique, smart, reliable, and modern app.","February 16, 2019"
47,"the best app for performing government requirements. issuing a passport, renewing a passport, issuing an ID, renewing your ID etc. Truly, you can't find an app do the same on most countries.","February 18, 2019"
48,"very very good App, which help me to finish all my paper and important cards from the mobile. no need to go there and spend money on the transport or travel to other cities to finish one signature. I like this App and i hope more development in my country. go a head Thanks","February 17, 2019"
49,"Best app ever, it make our lives easier. Instead of waiting hours to renew your passport, driving license or any other government services, now by Absher application all of the services you can do it in one click at any time from anywhere.","February 17, 2019"
50,"My family is on visit visa. I want to extend it but the app shows that I don't have any family visit visa, once it's available it will show. So, when I open absher in my computer, it will show me my family visit visa and I can extend it. The old version of the app was showing family visa but new update doesn't. Kindly fix the issue. Thanks.","June 15, 2021"
51,"For those who don't know ANYTHING about this application at all, all you know about it is nothing! This app represents the most sophisticated government services such issue or renewal of passport, renwal of driving license and other services just by one click. Don't be such an IDIOT and believe what the media say about it UNLESS YOU TRY IT BY YOURSELF. DON'T BE DRIVEN LIKE A SHEEP AND THINK LOGICALLY !!","February 16, 2019"
52,this app made life easier for me. Now i can manage most of goverment service with a push of a button from any where any time without the need to go to any offices or waiting in queues. If I had to chose to keep one app on my mobile it would be Absher.,"February 17, 2019"
53,"It is very sad to read some of your comments. This app has changed our lives. We can now renew our license, ID and passport in a click of a button. I am also able to see my both car and health insurance and if they are due renewal. This app is must for Saudis and residents 2030 vision ❤️","February 17, 2019"
54,The boring part is updating every time besides that it saves a lot,"February 13, 2023"
55,"make life easy, no need to go in queues for a renewal of passport, or find details of traffic tickets or almost any gov service without the need to go to them. stupid people reviewing with 1 star acting like a decent human being when they have no right interfering with our egov services wanting us to suffer with driving just for a passport renewal. i tell them suck it you retards and go cry somewhere else.","February 17, 2019"
56,"Very important app that help us to finish all government processes by some clicks in the phone. For the ones who want google to stop this app, I have to tell you that we will continue using it either from the store or from other sources as it's very important and helpful app. The shame is just to judge something that you have never know.","February 17, 2019"
57,"One of the best service apps ever! You can do all of your work through this app and with no time at all! Government services like issuing a passport, renewing your car license and driving license! Check all the information you need on this app.","February 17, 2019"
58,"Very very helpful applications where you can do all of your governments related subject where ever you are just with a push of a buttons plus it's very easy to understand and use, therefore I recommend every one to install it in his mobile and start use it from now.","February 17, 2019"
59,"I have been traveling around the world , most of countries are still using traditional ways to finish the government services processes accept my country which has this unique app that you can finish your service with one click. For all users would you mind to avoid to talk about this unless you try it yourself","February 17, 2019"
60,Greatest Governmental app ever! Now I can issue/renew my passport via this app without the need to go to physical location of the govt. entity. I wish the government add the traffic violations compliant feature. Great job ministry of the interior.,"February 17, 2019"
61,"This is the best app for the best government service ever. I remember that up to 2010 we used to form long queues at government places. With this wonderful app, all the government departments and sections are just a few clicks away. Imagine I don't have to leave my house to renew ID or Passport or even Driving License. All I have to do is to pay using online banking then have it delivered to my home using Saudi Post! Go Go Go KSA! We r the best!!","February 18, 2019"
62,"The best eGovernment app ever existed. Renew Passports, Driving License and IDs in less than 3 days and receiving it at home. Very intuitive interface and easy to use. Thank you!","February 18, 2019"
63,"Very useful app. It serves you in all of your needs with government. No need to go physically to the location, you can do all which you need online. I issued my passport as well as my ID card, making an appointment if needed through this app.","February 17, 2019"
64,"Governmental platform that includes most government services in one application. Issuing a national ID, driving license, passport and much more. It has changed the traditional way of getting these services to an electronic and very modern way. In addition to that, the application serves Saudis and expats.","February 17, 2019"
65,"The application is very accurate and it works well unlike some applications where you get a lot of errors and ads. To be honest this application is beautiful, artistic and well designed, I loved the background of the menu.","January 7, 2021"
66,"This is by far the best government app in Saudi Arabia. Very simple to use, straightforward navagation, and fast functionality. And most of all it has reduced the need to visit any government institution down to zero. Anyone who says otherwise must be not living in KSA or not Saudi.","February 19, 2019"
67,excellent app saves lots of time and effort for everyone. what we use to do in days now is done in minutes only. It is effective and efficient and probably one of the best ways to serve the public. it bypassed all red tape and hectic routine .,"February 17, 2019"
68,"best app I ever installed in my mobile made my life much easier in renewing, issuing, all my personal documents with a button. instead going there physically. I really appreciate the effort. Thanks a lot wish you more of progression. 👍","February 17, 2019"
69,"It's one of the best apps I've ever used. It allows to men and women in Saudi Arabia to do more than 120 government tasks online without visiting departments like get or renew Passport, Driver license, Car insurance, National ID, appointment .... reviews from out side Saudi Arabia try to give negative impact here without any basic knowledge about this great app ! Western people You don't have the right to remove this app that serve 30 million people in Saudi Arabia","February 16, 2019"
70,"E-government office has been made possible through the application. Getting the service is few clicks far from you, very strong authentication. The only applications competing with banks and financial service application in term of UX, stability and availability. Thanks to the government and to the development team.","February 22, 2019"
71,"Great app, thank u Saudi MOI for making our life easy. Best E-government app ever. It helps managing all my government documents like issuing or renewing passport or national ID. It also make it easy to manage vehicles insurance and registration documents. It also offers documents delivery to your desired place.","February 15, 2019"
72,"Best app in the age of technology that allows Saudi citizens (men and women alike) fininsh and obtain services like the issuance and renewal of driver's license, passport, birth certificate..etc. No other country, not even the USA, has something similar. I live in USA and still need to use the mail or go in person to do services that I can do with a few clicks through Absher. God bless Saudi Arabia and everyone lives there!","February 19, 2019"
73,"Very useful app that serve all citizens, residents and both genders. I lived in New Zealand and I had to wait for a long queue to renew my driver licence and Visa. Also the time office was very limited. Honestly, this app gets all my requests(Visa, renew driver licence etc) done while I am at home. I recommend, you to check this app before you judge otherwise don't spread false review to hurt 30 millions people.","February 28, 2019"
74,This app isn't working. It freezes on the logo. I request to the developers of this app to fix it asap. I tried this on different devices but freezes all the time. Looking forward to get this issue resolved.,"May 25, 2021"
75,"This app is really awesome and it makes our daily life and request easier.. Thanks for those people who have been working on it. I'm a student abroad and I have done everything I needed within this app, just a press on the button and then my request process. God bless our great Saudi Arabia","February 17, 2019"
76,"The services provided by the app are excellent. You can request new passport, renew existing passport, renew driving license, renew vehicle registration and license, issue National card, renew Iqama card. You also have all the information about yourself and your family citizenship. The system is connected to the banks and car rental companies. you can pay you driving tickets through it. The app saves valuable time and efforts that could have been wasted standing in lines.","February 17, 2019"
77,"A useful app to process government-related services. Basically it's the MOI website in app form. So far I have used it to extend visit visa, check exit reentry visa status, and check my car license registration status. Note: there are a lot of negative reviews recently because the app was mentioned in the western media as an app that restrict movements of female dependents. While I am aware of this controversy, most of those reviews come from people not even living in Saudi.","February 16, 2019"
78,"This is the best Egovernmental apps ever. Absher make my life easier. With Absher, I can renew my passport from home and receive it to my address I don't have to go take long lines and waste my time and effort not only that Absher has more than 160 E service ( renew driver license, insurance, car registration,Saudi ID) these are some examples you can do from your home, work or whatever place you are in instead to go to the government offices. please if you haven't been in KSA before go and read","February 17, 2019"
79,"This app changed the way I live, renewing any Gov document such as passports, driving license, ID, resedency, entry visa etc used to take days before this app & today in seconds 24/7 I can do it & the document is mailed to me, that's not all even to get an appointment in the Healthcare center this app help me to varify my identity & book the appointment from home. I can't imaging how other countries who don't have such an app live!!!","February 18, 2019"
80,Absher has made our lives easier and saved our times. Especially for women for they can do every thing they need only by their phones. I lost my national ID and I made all the requirements by the app and booked an appointment to issue the new one in less than 10 minutes. Thank you Absher you are a life saver.,"February 17, 2019"
81,This app is very great for doing almost all government related services without the need to visit Traffic police for example to renew my driving and car license or even visiting Immigration for renewing my passport.. Keep this good app updated for new features to support our e-services..,"February 17, 2019"
82,"one of the greatest apps in the android store...this app was made to make my life easier... and now renewing passports, driving license or even getting appointments has never been easier...Thanks from the bottom of my heart.","February 17, 2019"
83,"It deserves more than 5 stars. It allows you to renew your driving licence, passport, national ID, track your tickets and a lot more. Can any app do the same ??","February 17, 2019"
84,Absher is a great app as it facilitates all affairs related to citizens and residents such as renewing your car plates.. Renewing ID card.. Renewal of passports. Renewal of iqama. Applying for hajj or umrah permits and much more. The application also gives u a brief overview of the status of your car insurance and whether or not you have traffic tickets and etc.. One feature I love is that the app can remind you of you have anything expiring soon. Great app,"February 17, 2019"
85,"Great Service! this is really helpful App . No more government agencies visits needed and waiting in long queues . evreything I need from renewing my driving licnse , travel passport, national ID, ...etc... . Thank you very much for such amazing service!","February 17, 2019"
86,"one of the best apps that you should have, it take us to another level simplifying the government transaction which was so complicated, just I can't imagine going back, please keep improving.","February 20, 2019"
87,It's helping me a lot and saving my time before the app the service was so painful to finish your paper work for the government it takes about week's to three months mybe more otherwise long queues without sitting or resting for anyone especially who have disease like diabetes and anemia etc. Now with the app I can do all paper work and much more on my house and resting on my couch and all paper work finishes in minutes.Ops did I say paper work!☺ now no papers works every thing's online.,"February 18, 2019"
88,"Very useful and saves you tons of time! You can do all your government related transactions at the comfort of your house. No need to wait in lines to issue your ID, driver's license, passport, etc.","February 16, 2019"
89,"This app is basically the future, no more long queues for passport/id...etc renewals. Everything is fast and simple, one of the best app I've used recently, definitely would recommend!","February 17, 2019"
90,The application doesn't work after last update !!,"January 2, 2023"
91,"It makes a life easier because it has more than 200 services that I can do any one of that services very fast and easily. I believe that many countries don't have like this. However, there's no tracking for a woman as hateful people claimed.","February 17, 2019"
92,"Now Absher and Absher individual both app become same.same options are showing to open the both.Then what is the difference between the two apps? Old version one was much much better than new version.If absher individual app have in mobile then no need Absher due to the new version or vise versa.(i.e if Absher app have then no need Absher individual, because both apps are showing same option which was different before with old version of Absher.) Now one of the app become useless.","June 23, 2021"
93,"Absher has made the lives individuals and companies a lot easier. Finishing government papers such ad renewing passports, driving license, car registration and more than 150+ other services can be done in minutes without visiting any government office. It has truly changed the concept of customer services and digital transformation.","February 19, 2019"
94,This app is one of the best apps that has been built ever. I can renew my passport and license just with a few clicks. People who gave it one star are those who cannot even sign in because it requires your Saudi Visa number or your national ID number. It provides over 100 functionalities for almost anything you need without going and doing it in person. Thank you KSA,"February 18, 2019"
95,"Amazing app, very fast and very useful. We are proud to have such apps that gives you the ability to finish all your government transactions while setting at home. 💙💙","February 13, 2019"
96,This is for sure is the most helpfule App. It saves almost 99% of our time and effort. Its even more helpfule than bankink apps. I wish that all government intities reach that level of profishanility.,"February 17, 2019"
97,"using this application I saved my time ... renew my passport , Driver license ...receiving notification from courts if someone raised a case against me... I was able to see any speed tickets recorded by speed camera...and alot of government services that became available with a click instead of wasting my time visiting different departments.","February 16, 2019"
98,"It is one of the best app for any expatriate living in KSA, it has complete information of an individual including family .","January 30, 2023"
99,"One of the best apps, allowing people to do almost everything they need electronically without having to waste their time. I would say easy lifestyle is the suitable discretion for such an amazing app, good on you Saudis","February 17, 2019"
100,Unuseful website that always crashed and Not same user interface with the app. It will not allow you to file an objection to the wrong fine issued under your name (General violations). Unfair because money is very hard to earn just to pay the fine mistakenly issued to you. There is also no Technical support hotline to cater your technical concern regarding both website and the app. I am expat and I find it not user-friendly.,"May 26, 2021"
101,Worst experience whenever try to open it's shows service unavailable. Please fix this issues. If something wants to Check always shows the same. very bad experience,"January 1, 2023"
102,This is the most helpful app i ever experienced. It helps to do everything from home office car anywhere without the need of visiting so many government offices. Most people that critics this app are outsiders who never experienced and they're moved by some fake news channels. Keep it up Absher. Thank you,"March 3, 2019"
103,"this app is very good, thankyou ksa goverment","May 17, 2023"
104,"amazing app, doing all your government procedures on your mobile and no need to go with your papers","February 18, 2023"
105,"I'm giving this 5 stars, and wholeheartedly. This one time, after my wife ran into a door again, she tried to catch the first plane out! Well thank goodness for Absher - I caught her trying to leave. If your wife is super accident prone like mine, this is the app for you. Catch 'em before they run, and give 'em a good ticking off. This is what technology is for. What a time to be alive.","March 2, 2019"
106,"I've been using this app for a very long time used to work with no problems, however recently it stopped working. Opening app only shows logo indefinitely and does not open the app like before. Using Samsung Galaxy S7 Edge","August 10, 2020"
107,"Amazing app that can make our lifes easier by doing alot of services and avoiding the old and long procedures ,for Example I can renew my passport or driving license in couple of steps and it will only take seconds.","February 18, 2019"
108,Best E-government app ever. It helps managing all your government document like issuing or renewing your passport or your national ID. It also make it easy to manage your vehicles insurance and registration documents. It also offers documents delivery to your desired place.,"February 15, 2019"
109,A great App 👍🏻 Makes my life easier by saving my time and money .. Saves me from the hassle of standing in long lines of Govermental Offices just to issue a document.. I can do everything online now.. I can even open a bank account without having to visit the bank.. Big thanks to all the geniuses behind this App,"February 17, 2019"
110,"This app has made my life so much easier. As an employee, it can be challenging to take time from my job to go and finish a typical governmental service. I have renewed my passport and driver license through this app and it couldn't have been easier.","February 17, 2019"
111,"Best Application ever, this app makes my life easier I can do a lot of staff to support my family thru this application and my self in a fast and smooth way without going in person to the government offices. I visited many countries around the world that they still using a lot of paper work instead of this great application services... Thanks Saudi Arabia government for supporting your people that way...","February 18, 2019"
112,"I remembered in 2009 if you would like to renew your passport or your national ID it is the hardest, difficult, challenging, and time consuming mission. In 2019, you can do all the governments decounents while you're at home, significant change. What I described earlier for those who in a good health, I am not talking about disability people who suffer twice. Those who talking about using the application to discriminate women, they do not see my mom, sisters in the countryside, they depend on it","February 17, 2019"
113,I just updated my account but there is no option where to update such like stcpay,"April 18, 2023"
114,"such an amazing app. I remember years ago I needed to wait hours and several appointments to get things done, now it's just a click. I think every country should make their own. it definitely makes life easier.","February 17, 2019"
115,Excellent. It really save me time and a lot of money. I was able to do all the transactions and link it with my bank account in matter of minutes. Thanks a lot minstrey of interior and thanks a lot to Google app for making our life easier,"February 17, 2019"
116,Very useful app for achieving numerous every day tasks for citizens and residents. It is well done and easy to use. It is really amazing. Many thanks and congratulations for those behind the design and operation of this fantastic app ABSHER.,"November 27, 2020"
117,One of the best apps. It makes our life easy and helps to manage tasks without having to visit offices. I highly recommend it and support using it.,"February 17, 2019"
118,"best government app. easy to use and you can use it to do almost all government services: issue and renew national ID, passport, driving license, vehicle registration, etc.","February 21, 2019"
119,The best governmental app ever.. No need to go to the governmental sites at all.. You can issue your IDs passports and car vehicle registrations and have them delivered to you in few days.. Huge effort and fantastic app.,"February 17, 2019"
120,"This app kind of makes me sad to see... I am a female computer engineer. I thought I would maybe find a couple reviews made by women. Alas, I could not find a female review. I am sure the app is really useful for getting passports and other government activity. My only problem is women can help with these tasks. I'm living proof. 👩🏼‍🏭⚡","March 5, 2019"
121,"This is a great Governmental app, It is simply make your life easier. Now you can finish a lot of government services by one click instead of paper work. Many Thanks for the creators & editors.","February 17, 2019"
122,"The best app ever, it makes our lives easier than before. Now I can perform all governments transaction with just few clicks instead of waiting few days in queue. Thank you MOIsaudi for the great and unique service.","February 20, 2019"
123,"Alhamdulillah, as long as the internet is good, I can access easily..","January 12, 2023"
124,I cannot open right now in Pakistan plz fix it,"May 23, 2023"
125,One of the most used apps with minimum down time. It is basically an e- goverment tool to perform multiple services that used to take long time and standing in long lines,"February 17, 2019"
126,"Best e-gov application I've ever used. It's really helpful to citizens, expats and companies. Great way to saving time doing a lot of things from one place 👍🏼","February 17, 2019"
127,"The best gov. app. Very useful and easy to use. Our government has done an excellent job providing this convenate service for the family, it makes our lives easier and safer. I hope we can see more options and features.","February 17, 2019"
128,This app is helping everyone to renew his ID passport and driving licence in 1 click you can't find such helpful app in USA or Europe we are too advance and that's why they want to bring us back to old ages with long queues,"February 14, 2019"
129,"Made my life much easier, now i don't need to keep visiting government buildings to get services, all in one app. Only suggestion they need to integrate traffic accident and reports into this app.","February 17, 2019"
130,"Would the foreign idiots that know nothing about this app and writing up rediculous comments that reflect nothing but their stupidity take a hype and get a life rather than spamming the reveiws with iditiotic comments ? this app made life 10x easier, no more qeuing at a local office to get my passport, ID, Government documents renewed (I can just fill in my info online and get my renewed item mailed to my place) + other services that made life easier and made me do less qeuing.","February 17, 2019"
131,"The best application ever. It saves time and effort, quick, accurate, and it just make everything you need from the Interior Ministry at your fingertips.","February 17, 2019"
132,"Best App ever.. Made our live much more easier. In one click, most governmental transaction is done. We used to spend days to process it paper work now with the help of this app everything is much easier.","February 17, 2019"
133,"👌This is an amazing app, Its easy to use and provides Pack of multi services for both citizens and residents which can be done within minutes. It is really the most helpful app.👍","February 18, 2019"
134,"Most beneficial practical App. ever, love it. It saves billions of manhours, unnecessary trips and traffic jams. At the tip of your finger, you can easily process all your transactions through a state of the art App.","February 18, 2019"
135,An amazing app that has made a lot of improvements in terms of less time wasted in governmental offices as well as ease of access around the clock. It is very handy indeed.,"February 18, 2019"
136,Issue with the app. First of all absher individual and absher has become same .. absher individual asking for update whereas there is no update available.. also keeps on asking for activating the digital ID which I did numerous times after logging in but same message ..,"July 7, 2021"
137,"very excellent, easy to use, makes our live easy to process all governmental papers with only a click. i recommend all other countries to pearn from this highly efficient experience.","February 18, 2019"
138,Best APP ever. It makes your life easier and complete your goverment relations with a single touch. You can do many things in seconds which will take couple of days in other countries. I can't imagine how to live without it.,"February 18, 2019"
139,No long queues any more. No taking permission from your work to spend a whole day trying to renew your passport as an example. just one click while you drink a cup of tea at your house. it's high quality and luxurious living with smart app.,"February 17, 2019"
140,"I can't activate my digital iqama. Even in Absher website, digital document is empty.","February 6, 2023"
141,"facilitated nearly all government related actions. instead of taking weeks or even months to process any governmental matter, it only takes a few clicks. honestly the aggressive campaign against it is misleading to say the least.","February 17, 2019"
142,This app has reduced incredible amounts of time and effort spent dealing with bureaucratic approvals in government. I also love the option they installed recently in having them post the documents requested. I wish other countries start implementing the same technologies to save costs and time for both citizens and government.,"February 18, 2019"
143,Amazing and great app making governmental services easier and comfortable. Thankx to MOI & NIC for this success. And I'm proud for this development as an ideal app across the region. Keep it up to be an ideal app across the globe...,"May 16, 2019"
144,"It is great app, I was in the past I spend one day to renew my passport nowadays with the great app takes just 10 sec to renew my passport, national ID. Where in other country takes two days to renew it. Thanks Absher!","February 17, 2019"
145,"This is amazing app with great features that cut alots of manual handling of many requests.. I can renew my passport, driving licence, National ID, car registration in few minutes instead of days","March 8, 2019"
146,"Absher has been one of the biggest game changers to Saudi citizens. With it you can do so much in terms of governmental requests such as renewing your driver's related documents such as license and vehicle registration, checking/renewing your gov ID or passport for you or your family, and setting important dates to your calendar to experations of your gov documents. This app offers so much more that what I can mention here and it makes my life easier by large.","February 18, 2019"
147,"one of the most important application that you use to process your government services , you will not be able to do unless you attend personally, by using absher all your services are just between your fingers . go ahead with adding more service. well done.","February 17, 2019"
148,"This sucks i tried to creat an account and when im done it doesn't wanna log in, it keeps going back to relogin and i tried to reset the password, it doesn't wanna accept the number, seriously i already lost my job because of this. What kind of stupidity is this?? Fix it !","February 7, 2021"
149,"An application that implement electronic government services. It has reduced the process time of different services that are privide by MOI, significantly. Saudi passport, for example, can be issued and renewed online using this app. Moreover, it gives notifications when any official document is near to expire. In summary, it is an app that all Saudis and non Saudis have gotten a huge benefit of it. I would rate this app with 7 stars rather than 5 if it was possible to do so. good job absher.","February 18, 2019"
150,This application made my life and everyone else's easier. It serves not only the Saudis but anyone that lives in Saudi (residents). I renewed my passport and my wife's with few steps online without even visiting the office. I also renwed my car registration using the same app. Thank you for the application.,"February 17, 2019"
151,"I wanted to check my Exit/Re-entry status as its gonna expire on May 22, 2020,but despite of so many efforts, I couldnt open it because its showing some errors and that may be due to some technical faults۔It must be rectified so that those on vacation could get themselves aware and update about their Exit/Re-entry status۔","May 15, 2020"
152,"Yes, applying for jobs, renewing licences, and paying fines within an app is wonderful!!! Technology is a wonderful tool for convenience! If this app is truly interested in making the lives of Saudi citizens more convenient, keep its good features, but as long as there are features on an app supported by American companies that so blatantly disregard American values, these companies should have to answer to American values. If it's truly about driver's licenses, then #endmaleguardianship","March 4, 2019"
153,"one of the best applications that I ever seen covered all governments parts,divisions and Departments, friendly, easy to use, save, durable and straightforward and simple to use.","February 17, 2019"
154,One of the greatest app I have seen. It makes my life easier in regard to all government agencies' processes. Thanks god first of all and then thanks to every single person participated to create this specific app. Saudis will be stronger.,"February 18, 2019"
155,"This one of the greatest app ever, I'm disabled and I was suffering to go to renew my passport, my ID,my car license etx now on my couch with a click..this is a great siple of how goverment should reflect technology to help every person living in the country .. thank you ver much","February 18, 2019"
156,"This app save my time. I can do most of my work such as renew my ID, passport and driving licence. I can also schedule my appointment easly here in this app. I would like to thank all people who created this app.","February 17, 2019"
