Unnamed: 0,review,date,new_review,Polarity,Parts_of_speech,sentiment
10,Why is there no option to acticvate digital card? Please? I want to print my iqama already translated in english.,"April 19, 2023",Why is there no option to acticvate digital card Please I want to print my iqama already translated in english,0.0,"[('Why', 'WRB'), ('is', 'VBZ'), ('there', 'RB'), ('no', 'DT'), ('option', 'NN'), ('to', 'TO'), ('acticvate', 'VB'), ('digital', 'JJ'), ('card', 'NN'), ('Please', 'NNP'), ('I', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('print', 'VB'), ('my', 'PRP$'), ('iqama', 'NN'), ('already', 'RB'), ('translated', 'VBN'), ('in', 'IN'), ('english', 'JJ')]",Positive
11,May be you need finger print or eye contact to replace National I.D & Passport. What you are doing here is an old technology it is fading away Worldwide. Though U R better than most 3rd world countries. Good luck & God bless U. ***,"February 12, 2023",May be you need finger print or eye contact to replace National ID  Passport What you are doing here is an old technology it is fading away Worldwide Though U R better than most 3rd world countries Good luck  God bless U ,0.36,"[('May', 'NNP'), ('be', 'VB'), ('you', 'PRP'), ('need', 'VBP'), ('finger', 'JJ'), ('print', 'NN'), ('or', 'CC'), ('eye', 'NN'), ('contact', 'NN'), ('to', 'TO'), ('replace', 'VB'), ('National', 'NNP'), ('ID', 'NNP'), ('Passport', 'NNP'), ('What', 'WP'), ('you', 'PRP'), ('are', 'VBP'), ('doing', 'VBG'), ('here', 'RB'), ('is', 'VBZ'), ('an', 'DT'), ('old', 'JJ'), ('technology', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('fading', 'VBG'), ('away', 'RB'), ('Worldwide', 'NNP'), ('Though', 'NNP'), ('U', 'NNP'), ('R', 'NNP'), ('better', 'JJR'), ('than', 'IN'), ('most', 'JJS'), ('3rd', 'CD'), ('world', 'NN'), ('countries', 'NNS'), ('Good', 'NNP'), ('luck', 'NN'), ('God', 'NNP'), ('bless', 'NN'), ('U', 'NNP')]",Positive
12,"The absolute BEST app for enslaving and controlling my women, and their movements. Sure, there are other apps that do the same thing, but I have found none that allows its users the complete control and enslavement that this one does. Most of the other apps have inaccurate tracking, and even worse, have allowed some women to escape, which defeats the whole purpose, doesn't it? ""You have tried the rest; 'Absher' is the best!"" (At controlling and enslaving women) Oh, and it does gov. stuff, too.","March 4, 2019",The absolute BEST app for enslaving and controlling my women and their movements Sure there are other apps that do the same thing but I have found none that allows its users the complete control and enslavement that this one does Most of the other apps have inaccurate tracking and even worse have allowed some women to escape which defeats the whole purpose doesnt it You have tried the rest Absher is the best At controlling and enslaving women Oh and it does gov stuff too,0.25909090909090904,"[('The', 'DT'), ('absolute', 'NN'), ('BEST', 'NNP'), ('app', 'NN'), ('for', 'IN'), ('enslaving', 'VBG'), ('and', 'CC'), ('controlling', 'VBG'), ('my', 'PRP$'), ('women', 'NNS'), ('and', 'CC'), ('their', 'PRP$'), ('movements', 'NNS'), ('Sure', 'IN'), ('there', 'EX'), ('are', 'VBP'), ('other', 'JJ'), ('apps', 'IN'), ('that', 'DT'), ('do', 'VBP'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('but', 'CC'), ('I', 'PRP'), ('have', 'VBP'), ('found', 'VBN'), ('none', 'NN'), ('that', 'WDT'), ('allows', 'VBZ'), ('its', 'PRP$'), ('users', 'NNS'), ('the', 'DT'), ('complete', 'JJ'), ('control', 'NN'), ('and', 'CC'), ('enslavement', 'NN'), ('that', 'IN'), ('this', 'DT'), ('one', 'CD'), ('does', 'VBZ'), ('Most', 'JJS'), ('of', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('apps', 'NN'), ('have', 'VBP'), ('inaccurate', 'VBN'), ('tracking', 'NN'), ('and', 'CC'), ('even', 'RB'), ('worse', 'JJR'), ('have', 'VBP'), ('allowed', 'VBN'), ('some', 'DT'), ('women', 'NNS'), ('to', 'TO'), ('escape', 'VB'), ('which', 'WDT'), ('defeats', 'VBZ'), ('the', 'DT'), ('whole', 'JJ'), ('purpose', 'NN'), ('doesnt', 'NN'), ('it', 'PRP'), ('You', 'PRP'), ('have', 'VBP'), ('tried', 'VBN'), ('the', 'DT'), ('rest', 'NN'), ('Absher', 'NNP'), ('is', 'VBZ'), ('the', 'DT'), ('best', 'JJS'), ('At', 'IN'), ('controlling', 'VBG'), ('and', 'CC'), ('enslaving', 'VBG'), ('women', 'NNS'), ('Oh', 'NNP'), ('and', 'CC'), ('it', 'PRP'), ('does', 'VBZ'), ('gov', 'VB'), ('stuff', 'VB'), ('too', 'RB')]",Positive
13,The only thing that irritates me is you always have to update it before you can log in. Other than that app is helpful.,"February 6, 2023",The only thing that irritates me is you always have to update it before you can log in Other than that app is helpful,-0.0625,"[('The', 'DT'), ('only', 'JJ'), ('thing', 'NN'), ('that', 'WDT'), ('irritates', 'VBZ'), ('me', 'PRP'), ('is', 'VBZ'), ('you', 'PRP'), ('always', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('update', 'VB'), ('it', 'PRP'), ('before', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('log', 'VB'), ('in', 'IN'), ('Other', 'JJ'), ('than', 'IN'), ('that', 'DT'), ('app', 'NN'), ('is', 'VBZ'), ('helpful', 'JJ')]",Negative
14,"What a wonderful app that helps you to do your governmental requirements so easily. You can issue, renew, delegate and view your properties & your independents status and the validity of their documents & yours as well. Not to mention the great favors for old, young, women, labors and business people. You never know how much time & how many waiting queues were reduced so significantly by only one app under one umbrella.","February 17, 2019",What a wonderful app that helps you to do your governmental requirements so easily You can issue renew delegate and view your properties  your independents status and the validity of their documents  yours as well Not to mention the great favors for old young women labors and business people You never know how much time  how many waiting queues were reduced so significantly by only one app under one umbrella,0.3916666666666667,"[('What', 'WP'), ('a', 'DT'), ('wonderful', 'JJ'), ('app', 'NN'), ('that', 'WDT'), ('helps', 'VBZ'), ('you', 'PRP'), ('to', 'TO'), ('do', 'VB'), ('your', 'PRP$'), ('governmental', 'NN'), ('requirements', 'NNS'), ('so', 'IN'), ('easily', 'RB'), ('You', 'PRP'), ('can', 'MD'), ('issue', 'VB'), ('renew', 'VB'), ('delegate', 'JJ'), ('and', 'CC'), ('view', 'VB'), ('your', 'PRP$'), ('properties', 'NNS'), ('your', 'PRP$'), ('independents', 'NNS'), ('status', 'NN'), ('and', 'CC'), ('the', 'DT'), ('validity', 'NN'), ('of', 'IN'), ('their', 'PRP$'), ('documents', 'NNS'), ('yours', 'CC'), ('as', 'RB'), ('well', 'RB'), ('Not', 'RB'), ('to', 'TO'), ('mention', 'VB'), ('the', 'DT'), ('great', 'JJ'), ('favors', 'NNS'), ('for', 'IN'), ('old', 'JJ'), ('young', 'JJ'), ('women', 'NNS'), ('labors', 'NNS'), ('and', 'CC'), ('business', 'NN'), ('people', 'NNS'), ('You', 'PRP'), ('never', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('much', 'JJ'), ('time', 'NN'), ('how', 'WRB'), ('many', 'JJ'), ('waiting', 'VBG'), ('queues', 'NNS'), ('were', 'VBD'), ('reduced', 'VBN'), ('so', 'RB'), ('significantly', 'RB'), ('by', 'IN'), ('only', 'RB'), ('one', 'CD'), ('app', 'NN'), ('under', 'IN'), ('one', 'CD'), ('umbrella', 'NN')]",Positive
15,"Really usless application as I can't do anything I need, like renew exit re-entry visas, or renewal. It lacks lots of functions which makes it useless. If you need to do anything more effectively, you need to use Google to access absher, which in my opinion is another unsecured as its a public access site. You basically need to still go to the passport office to get anything done. You need appointment in order to go there to do anything. Another obstacle. Oh well.","February 6, 2022",Really usless application as I cant do anything I need like renew exit reentry visas or renewal It lacks lots of functions which makes it useless If you need to do anything more effectively you need to use Google to access absher which in my opinion is another unsecured as its a public access site You basically need to still go to the passport office to get anything done You need appointment in order to go there to do anything Another obstacle Oh well,0.16,"[('Really', 'RB'), ('usless', 'JJ'), ('application', 'NN'), ('as', 'IN'), ('I', 'PRP'), ('cant', 'VBP'), ('do', 'VBP'), ('anything', 'NN'), ('I', 'PRP'), ('need', 'VBP'), ('like', 'IN'), ('renew', 'JJ'), ('exit', 'NN'), ('reentry', 'NN'), ('visas', 'NN'), ('or', 'CC'), ('renewal', 'VB'), ('It', 'PRP'), ('lacks', 'VBZ'), ('lots', 'NNS'), ('of', 'IN'), ('functions', 'NNS'), ('which', 'WDT'), ('makes', 'VBZ'), ('it', 'PRP'), ('useless', 'JJ'), ('If', 'IN'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('do', 'VB'), ('anything', 'NN'), ('more', 'RBR'), ('effectively', 'RB'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('use', 'VB'), ('Google', 'NNP'), ('to', 'TO'), ('access', 'NN'), ('absher', 'NN'), ('which', 'WDT'), ('in', 'IN'), ('my', 'PRP$'), ('opinion', 'NN'), ('is', 'VBZ'), ('another', 'DT'), ('unsecured', 'JJ'), ('as', 'IN'), ('its', 'PRP$'), ('a', 'DT'), ('public', 'JJ'), ('access', 'NN'), ('site', 'NN'), ('You', 'PRP'), ('basically', 'RB'), ('need', 'VBP'), ('to', 'TO'), ('still', 'RB'), ('go', 'VB'), ('to', 'TO'), ('the', 'DT'), ('passport', 'NN'), ('office', 'NN'), ('to', 'TO'), ('get', 'VB'), ('anything', 'NN'), ('done', 'VBN'), ('You', 'PRP'), ('need', 'VBP'), ('appointment', 'JJ'), ('in', 'IN'), ('order', 'NN'), ('to', 'TO'), ('go', 'VB'), ('there', 'RB'), ('to', 'TO'), ('do', 'VB'), ('anything', 'NN'), ('Another', 'DT'), ('obstacle', 'NN'), ('Oh', 'NNP'), ('well', 'RB')]",Positive
16,"The best government service app for all residents: Saudi and non Saudi, men and women. It made life easier and faster. By a click I can request a new passport or a driver license, or many other documents without the need to drive or travel. Using it, my wife can now manage her own business without any help from me or any other person. It helped women to be more independent. Thank you who developed Absher app and who manage it. Frankly, other countries should learn from this great service app.","February 18, 2019",The best government service app for all residents Saudi and non Saudi men and women It made life easier and faster By a click I can request a new passport or a driver license or many other documents without the need to drive or travel Using it my wife can now manage her own business without any help from me or any other person It helped women to be more independent Thank you who developed Absher app and who manage it Frankly other countries should learn from this great service app,0.29648760330578516,"[('The', 'DT'), ('best', 'JJS'), ('government', 'NN'), ('service', 'NN'), ('app', 'NN'), ('for', 'IN'), ('all', 'DT'), ('residents', 'NNS'), ('Saudi', 'NNP'), ('and', 'CC'), ('non', 'JJ'), ('Saudi', 'NNP'), ('men', 'NNS'), ('and', 'CC'), ('women', 'NNS'), ('It', 'PRP'), ('made', 'VBD'), ('life', 'NN'), ('easier', 'JJR'), ('and', 'CC'), ('faster', 'RBR'), ('By', 'IN'), ('a', 'DT'), ('click', 'NN'), ('I', 'PRP'), ('can', 'MD'), ('request', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('passport', 'NN'), ('or', 'CC'), ('a', 'DT'), ('driver', 'NN'), ('license', 'NN'), ('or', 'CC'), ('many', 'JJ'), ('other', 'JJ'), ('documents', 'NNS'), ('without', 'IN'), ('the', 'DT'), ('need', 'NN'), ('to', 'TO'), ('drive', 'VB'), ('or', 'CC'), ('travel', 'VB'), ('Using', 'VBG'), ('it', 'PRP'), ('my', 'PRP$'), ('wife', 'NN'), ('can', 'MD'), ('now', 'RB'), ('manage', 'VB'), ('her', 'PRP$'), ('own', 'JJ'), ('business', 'NN'), ('without', 'IN'), ('any', 'DT'), ('help', 'NN'), ('from', 'IN'), ('me', 'PRP'), ('or', 'CC'), ('any', 'DT'), ('other', 'JJ'), ('person', 'NN'), ('It', 'PRP'), ('helped', 'VBD'), ('women', 'NNS'), ('to', 'TO'), ('be', 'VB'), ('more', 'RBR'), ('independent', 'JJ'), ('Thank', 'NNP'), ('you', 'PRP'), ('who', 'WP'), ('developed', 'VBD'), ('Absher', 'NNP'), ('app', 'NN'), ('and', 'CC'), ('who', 'WP'), ('manage', 'VBP'), ('it', 'PRP'), ('Frankly', 'NNP'), ('other', 'JJ'), ('countries', 'NNS'), ('should', 'MD'), ('learn', 'VB'), ('from', 'IN'), ('this', 'DT'), ('great', 'JJ'), ('service', 'NN'), ('app', 'NN')]",Positive
17,"The best government app that I've ever experienced. It made my life easier by completing most of my and my dependents' government paperwork without wasting our time in long ques. I can issue/ renew the ID, passport, driving license, issue exit/ re-entry visas for my employees, .. and much much more. Brilliant app!","February 20, 2019",The best government app that Ive ever experienced It made my life easier by completing most of my and my dependents government paperwork without wasting our time in long ques I can issue renew the ID passport driving license issue exit reentry visas for my employees  and much much more Brilliant app,0.6083333333333333,"[('The', 'DT'), ('best', 'JJS'), ('government', 'NN'), ('app', 'NN'), ('that', 'IN'), ('Ive', 'NNP'), ('ever', 'RB'), ('experienced', 'VBD'), ('It', 'PRP'), ('made', 'VBD'), ('my', 'PRP$'), ('life', 'NN'), ('easier', 'JJR'), ('by', 'IN'), ('completing', 'VBG'), ('most', 'JJS'), ('of', 'IN'), ('my', 'PRP$'), ('and', 'CC'), ('my', 'PRP$'), ('dependents', 'NNS'), ('government', 'NN'), ('paperwork', 'NN'), ('without', 'IN'), ('wasting', 'VBG'), ('our', 'PRP$'), ('time', 'NN'), ('in', 'IN'), ('long', 'JJ'), ('ques', 'NNS'), ('I', 'PRP'), ('can', 'MD'), ('issue', 'VB'), ('renew', 'VB'), ('the', 'DT'), ('ID', 'NNP'), ('passport', 'NN'), ('driving', 'VBG'), ('license', 'JJ'), ('issue', 'NN'), ('exit', 'NN'), ('reentry', 'NN'), ('visas', 'NN'), ('for', 'IN'), ('my', 'PRP$'), ('employees', 'NNS'), ('and', 'CC'), ('much', 'RB'), ('much', 'RB'), ('more', 'RBR'), ('Brilliant', 'JJ'), ('app', 'NN')]",Positive
18,"Amazing and spectacular App. It makes the life easier in regard of doing all the visiting the governmental institutions. With one click, I can renew my passport, National ID, Car registration, driver's licenses and many more. Instead of wating several hours in a line to do all the government documentation, I can do it here with Absher.","February 17, 2019",Amazing and spectacular App It makes the life easier in regard of doing all the visiting the governmental institutions With one click I can renew my passport National ID Car registration drivers licenses and many more Instead of wating several hours in a line to do all the government documentation I can do it here with Absher,0.44000000000000006,"[('Amazing', 'NNP'), ('and', 'CC'), ('spectacular', 'JJ'), ('App', 'NNP'), ('It', 'PRP'), ('makes', 'VBZ'), ('the', 'DT'), ('life', 'NN'), ('easier', 'RBR'), ('in', 'IN'), ('regard', 'NN'), ('of', 'IN'), ('doing', 'VBG'), ('all', 'PDT'), ('the', 'DT'), ('visiting', 'VBG'), ('the', 'DT'), ('governmental', 'JJ'), ('institutions', 'NNS'), ('With', 'IN'), ('one', 'CD'), ('click', 'NN'), ('I', 'PRP'), ('can', 'MD'), ('renew', 'VB'), ('my', 'PRP$'), ('passport', 'JJ'), ('National', 'NNP'), ('ID', 'NNP'), ('Car', 'NNP'), ('registration', 'NN'), ('drivers', 'NNS'), ('licenses', 'NNS'), ('and', 'CC'), ('many', 'JJ'), ('more', 'JJR'), ('Instead', 'RB'), ('of', 'IN'), ('wating', 'VBG'), ('several', 'JJ'), ('hours', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('line', 'NN'), ('to', 'TO'), ('do', 'VB'), ('all', 'PDT'), ('the', 'DT'), ('government', 'NN'), ('documentation', 'NN'), ('I', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('it', 'PRP'), ('here', 'RB'), ('with', 'IN'), ('Absher', 'NNP')]",Positive
19,"It is a great amazing application that eases users live in many aspects, sadly many low ratings and reviews done by people who never tried it. Unfortunately the media delivered wrong message about the application which is totally different from its real use.","February 17, 2019",It is a great amazing application that eases users live in many aspects sadly many low ratings and reviews done by people who never tried it Unfortunately the media delivered wrong message about the application which is totally different from its real use,0.17363636363636364,"[('It', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('great', 'JJ'), ('amazing', 'JJ'), ('application', 'NN'), ('that', 'WDT'), ('eases', 'VBZ'), ('users', 'NNS'), ('live', 'VBP'), ('in', 'IN'), ('many', 'JJ'), ('aspects', 'NNS'), ('sadly', 'RB'), ('many', 'JJ'), ('low', 'JJ'), ('ratings', 'NNS'), ('and', 'CC'), ('reviews', 'NNS'), ('done', 'VBN'), ('by', 'IN'), ('people', 'NNS'), ('who', 'WP'), ('never', 'RB'), ('tried', 'VBD'), ('it', 'PRP'), ('Unfortunately', 'RB'), ('the', 'DT'), ('media', 'NNS'), ('delivered', 'VBN'), ('wrong', 'JJ'), ('message', 'NN'), ('about', 'IN'), ('the', 'DT'), ('application', 'NN'), ('which', 'WDT'), ('is', 'VBZ'), ('totally', 'RB'), ('different', 'JJ'), ('from', 'IN'), ('its', 'PRP$'), ('real', 'JJ'), ('use', 'NN')]",Positive
